question_id,question_category,method,run_number,duration_ms,tokens_in,tokens_out,cost_usd,cluster_id,profile_used,was_stale,was_downgraded,factsheet_version,was_new_session,response_length_chars,response_path,cache_creation_input_tokens,cache_read_input_tokens,reported_total_cost_usd,model,num_turns,error,quality_score,quality_notes
A1,A_factual,direct_fresh,1,41136,40915,456,0.1666794,,agent_readonly,,,,true,701,responses/direct_fresh_A1_run1.txt,0,123648,0.277799,MiniMax-M2.7,5,,3,all clusters fields present
A2,A_factual,direct_fresh,1,49482,56061,1597,0.39705375,,agent_readonly,,,,true,1506,responses/direct_fresh_A2_run1.txt,40671,174665,0.66175625,MiniMax-M2.7,6,,3,all known cluster event types present
A3,A_factual,direct_fresh,1,88526,84379,886,0.27963659999999996,,agent_readonly,,,,true,1379,responses/direct_fresh_A3_run1.txt,0,44032,0.46606100000000006,MiniMax-M2.7,3,,0,wrong or unsupported; matched 1/6
A4,A_factual,direct_fresh,1,25006,42161,562,0.1602954,,agent_readonly,,,,true,897,responses/direct_fresh_A4_run1.txt,0,84608,0.26715900000000004,MiniMax-M2.7,3,,3,bare args identified
A5,A_factual,direct_fresh,1,25390,41536,171,0.140133,,agent_readonly,,,,true,253,responses/direct_fresh_A5_run1.txt,0,43200,0.233555,MiniMax-M2.7,2,,3,default 30 identified
B1,B_reasoning,direct_fresh,1,34671,61783,1676,0.40598340000000005,,agent_readonly,,,,true,1230,responses/direct_fresh_B1_run1.txt,0,651648,0.676639,MiniMax-M2.7,15,,3,explains verifier restriction and rationale for avoiding agent mode
B2,B_reasoning,direct_fresh,1,117063,51802,1809,0.263181,,agent_readonly,,,,true,2872,responses/direct_fresh_B2_run1.txt,0,268800,0.43863500000000005,MiniMax-M2.7,9,,2,partial orphan recovery path; matched 5/6
B3,B_reasoning,direct_fresh,1,61144,46043,716,0.2008434,,agent_readonly,,,,true,1568,responses/direct_fresh_B3_run1.txt,0,173248,0.334739,MiniMax-M2.7,5,,3,distinguishes all trust states and rejection condition
C1,C_open,direct_fresh,1,31636,55650,1691,0.217995,,agent_readonly,,,,true,4083,responses/direct_fresh_C1_run1.txt,0,85600,0.363325,MiniMax-M2.7,6,,3,"specific, project-aware, and gives at least three concrete points"
C2,C_open,direct_fresh,1,52896,48852,1386,0.23426759999999996,,agent_readonly,,,,true,1333,responses/direct_fresh_C2_run1.txt,0,223072,0.39044599999999996,MiniMax-M2.7,11,,2,substantive but not fully structured or missing some project specificity
A1,A_factual,direct_fresh,2,13682,42992,435,0.1733634,,agent_readonly,,,,true,546,responses/direct_fresh_A1_run2.txt,0,126208,0.288939,MiniMax-M2.7,5,,3,all clusters fields present
A2,A_factual,direct_fresh,2,104211,45606,1946,0.29758559999999995,,agent_readonly,,,,true,1818,responses/direct_fresh_A2_run2.txt,0,438592,0.495976,MiniMax-M2.7,11,,2,missing some cluster event types; matched 14/19
A3,A_factual,direct_fresh,2,33711,7524,853,0.0733062,,agent_readonly,,,,true,1509,responses/direct_fresh_A3_run2.txt,0,126464,0.122177,MiniMax-M2.7,5,,0,wrong or unsupported; matched 1/6
A4,A_factual,direct_fresh,2,90189,88301,399,0.43770075,,agent_readonly,,,,true,280,responses/direct_fresh_A4_run2.txt,40669,47680,0.72950125,MiniMax-M2.7,4,,3,bare args identified
A5,A_factual,direct_fresh,2,17809,41869,178,0.141237,,agent_readonly,,,,true,239,responses/direct_fresh_A5_run2.txt,0,43200,0.23539500000000002,MiniMax-M2.7,2,,3,default 30 identified
B1,B_reasoning,direct_fresh,2,149921,74017,1772,0.39283635,,agent_readonly,,,,true,1581,responses/direct_fresh_B1_run2.txt,6683,397147,0.6547272499999999,MiniMax-M2.7,10,,3,explains verifier restriction and rationale for avoiding agent mode
B2,B_reasoning,direct_fresh,2,57667,53265,1905,0.28391879999999997,,agent_readonly,,,,true,3300,responses/direct_fresh_B2_run2.txt,0,318496,0.473198,MiniMax-M2.7,11,,3,walks orphan recovery path
B3,B_reasoning,direct_fresh,2,69345,5458,1324,0.1005348,,agent_readonly,,,,true,1891,responses/direct_fresh_B3_run2.txt,0,214336,0.167558,MiniMax-M2.7,7,,3,distinguishes all trust states and rejection condition
C1,C_open,direct_fresh,2,48809,48955,1710,0.2402622,,agent_readonly,,,,true,2313,responses/direct_fresh_C1_run2.txt,0,225824,0.40043700000000004,MiniMax-M2.7,7,,2,substantive but not fully structured or missing some project specificity
C2,C_open,direct_fresh,2,143926,50357,4499,0.35333040000000004,,agent_readonly,,,,true,2410,responses/direct_fresh_C2_run2.txt,0,449248,0.5888839999999999,MiniMax-M2.7,14,,2,substantive but not fully structured or missing some project specificity; includes NOT IN CONTEXT caveat
A1,A_factual,direct_fresh,3,23727,49596,469,0.3311478,,agent_readonly,,,,true,612,responses/direct_fresh_A1_run3.txt,40670,76041,0.551913,MiniMax-M2.7,5,,3,all clusters fields present
A2,A_factual,direct_fresh,3,30628,47888,769,0.221871,,agent_readonly,,,,true,732,responses/direct_fresh_A2_run3.txt,0,222240,0.3697849999999999,MiniMax-M2.7,7,,2,missing some cluster event types; matched 17/19
A3,A_factual,direct_fresh,3,14327,53507,808,0.19943460000000002,,agent_readonly,,,,true,2380,responses/direct_fresh_A3_run3.txt,0,89312,0.332391,MiniMax-M2.7,5,,2,captures only part of caller-facing stale behavior; matched 4/6
A4,A_factual,direct_fresh,3,43200,42835,409,0.1741344,,agent_readonly,,,,true,354,responses/direct_fresh_A4_run3.txt,0,131648,0.2902239999999999,MiniMax-M2.7,4,,3,bare args identified
A5,A_factual,direct_fresh,3,4136,44722,136,0.148542,,agent_readonly,,,,true,127,responses/direct_fresh_A5_run3.txt,0,41120,0.24757,MiniMax-M2.7,2,,3,default 30 identified
B1,B_reasoning,direct_fresh,3,65479,9335,1122,0.14904135,,agent_readonly,,,,true,991,responses/direct_fresh_B1_run3.txt,6683,263817,0.24840225000000002,MiniMax-M2.7,7,,3,explains verifier restriction and rationale for avoiding agent mode
B2,B_reasoning,direct_fresh,3,107570,61234,1542,0.24918720000000003,,agent_readonly,,,,true,2759,responses/direct_fresh_B2_run3.txt,0,141184,0.41531200000000007,MiniMax-M2.7,7,,2,partial orphan recovery path; matched 4/6
B3,B_reasoning,direct_fresh,3,65188,46491,851,0.21366585000000002,,agent_readonly,,,,true,1849,responses/direct_fresh_B3_run3.txt,6693,121097,0.35610975000000006,MiniMax-M2.7,6,,3,distinguishes all trust states and rejection condition
