question_id,question_category,method,run_number,duration_ms,tokens_in,tokens_out,cost_usd,cluster_id,profile_used,was_stale,was_downgraded,factsheet_version,was_new_session,response_length_chars,response_path,cache_creation_input_tokens,cache_read_input_tokens,reported_total_cost_usd,model,num_turns,error,quality_score,quality_notes
A1,A_factual,direct_fresh,1,47968,48463,521,0.34213995,,agent_readonly,,,,true,688,responses/direct_fresh_A1_run1.txt,40717,120824,0.57023325,MiniMax-M2.7,6,,3,all clusters fields present
A2,A_factual,direct_fresh,1,68428,99139,1280,0.43096829999999997,,agent_readonly,,,,true,1280,responses/direct_fresh_A2_run1.txt,6678,297696,0.7182805000000001,MiniMax-M2.7,8,,3,all known cluster event types present
A3,A_factual,direct_fresh,1,30473,57093,508,0.22436925,,agent_readonly,,,,true,1150,responses/direct_fresh_A3_run1.txt,6679,68080,0.37394875000000005,MiniMax-M2.7,3,,0,wrong or unsupported; matched 1/6
A4,A_factual,direct_fresh,1,38372,54570,433,0.1984098,,agent_readonly,,,,true,314,responses/direct_fresh_A4_run1.txt,0,94016,0.330683,MiniMax-M2.7,5,,3,bare args identified
A5,A_factual,direct_fresh,1,13088,41749,145,0.13969079999999998,,agent_readonly,,,,true,135,responses/direct_fresh_A5_run1.txt,0,40896,0.23281800000000002,MiniMax-M2.7,2,,3,default 30 identified
B1,B_reasoning,direct_fresh,1,24106,44192,764,0.16932239999999998,,agent_readonly,,,,true,1385,responses/direct_fresh_B1_run1.txt,0,84288,0.282204,MiniMax-M2.7,5,,2,mostly explains verifier restriction but misses some nuance
B2,B_reasoning,direct_fresh,1,134707,69864,1415,0.33726884999999995,,agent_readonly,,,,true,2226,responses/direct_fresh_B2_run1.txt,6695,271152,0.5621147499999999,MiniMax-M2.7,10,,3,walks orphan recovery path
B3,B_reasoning,direct_fresh,1,34819,47863,959,0.2101404,,agent_readonly,,,,true,1926,responses/direct_fresh_B3_run1.txt,0,173888,0.35023400000000005,MiniMax-M2.7,7,,3,distinguishes all trust states and rejection condition
C1,C_open,direct_fresh,1,153693,87995,1290,0.3494058,,agent_readonly,,,,true,2383,responses/direct_fresh_C1_run1.txt,6680,136736,0.582343,MiniMax-M2.7,7,,2,substantive but not fully structured or missing some project specificity
C2,C_open,direct_fresh,1,159671,48087,2695,0.3076236,,agent_readonly,,,,true,1852,responses/direct_fresh_C2_run1.txt,0,409792,0.512706,MiniMax-M2.7,18,,2,substantive but not fully structured or missing some project specificity
